                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0157,                0.79917,                 1.2546,                0.83232,                0.80468,                0.87469,                0.63558,                 1.0061,                 0.7135,                 1.2198,               0.006634,               0.006634,               0.006634
                     37,                 1.0076,                0.79492,                 1.2498,                0.83157,                0.80943,                0.87728,                0.63856,                 1.0041,                0.70753,                 1.2186,               0.006535,               0.006535,               0.006535
                     38,                 1.0057,                0.78556,                 1.2525,                0.82555,                0.81778,                0.87767,                0.63893,                 1.0024,                0.70351,                 1.2197,               0.006436,               0.006436,               0.006436
                     39,                0.99918,                0.77672,                 1.2428,                 0.8317,                0.81155,                 0.8786,                0.63891,                 1.0044,                0.70129,                 1.2189,               0.006337,               0.006337,               0.006337
                     40,                0.99735,                0.77276,                 1.2463,                0.83761,                0.80851,                0.88019,                0.64357,                0.99921,                0.69971,                 1.2175,               0.006238,               0.006238,               0.006238
                     41,                0.99448,                0.76314,                 1.2452,                0.83457,                0.81421,                0.88095,                0.64431,                0.99988,                0.69541,                 1.2179,               0.006139,               0.006139,               0.006139
                     42,                0.98521,                0.75233,                 1.2341,                0.83412,                0.81637,                0.88203,                0.64473,                0.99704,                0.69222,                 1.2158,                0.00604,                0.00604,                0.00604
                     43,                0.98524,                0.75539,                 1.2325,                0.83803,                0.81343,                0.88156,                0.64545,                0.99593,                0.69025,                 1.2136,               0.005941,               0.005941,               0.005941
                     44,                0.97729,                0.74875,                 1.2303,                 0.8464,                0.80718,                0.88138,                0.64577,                 0.9955,                0.68964,                 1.2141,               0.005842,               0.005842,               0.005842
                     45,                0.97401,                0.74667,                 1.2302,                0.84454,                0.81078,                0.88163,                0.64765,                0.99397,                0.68799,                 1.2142,               0.005743,               0.005743,               0.005743
                     46,                0.96932,                0.73581,                 1.2264,                 0.8431,                0.81398,                0.88153,                  0.648,                0.99336,                0.68749,                 1.2151,               0.005644,               0.005644,               0.005644
                     47,                0.96207,                0.73523,                 1.2161,                0.84515,                 0.8115,                0.88254,                0.64891,                0.99205,                0.68623,                 1.2154,               0.005545,               0.005545,               0.005545
                     48,                0.95571,                 0.7237,                 1.2147,                0.84356,                 0.8154,                 0.8827,                0.65027,                 0.9915,                0.68388,                 1.2164,               0.005446,               0.005446,               0.005446
                     49,                0.95341,                0.71424,                 1.2092,                0.83924,                0.82049,                0.88328,                0.65059,                0.99046,                0.68233,                 1.2143,               0.005347,               0.005347,               0.005347
                     50,                 0.9447,                0.71627,                 1.2129,                0.84124,                0.81949,                0.88396,                 0.6515,                0.98939,                0.68082,                 1.2143,               0.005248,               0.005248,               0.005248
                     51,                0.94194,                0.70955,                 1.2075,                0.83744,                0.82205,                0.88388,                0.65197,                0.98838,                0.68026,                 1.2146,               0.005149,               0.005149,               0.005149
                     52,                0.93988,                0.70573,                 1.2059,                0.83798,                0.81914,                0.88428,                0.65229,                0.98847,                0.67977,                 1.2151,                0.00505,                0.00505,                0.00505
                     53,                0.93194,                0.69841,                    1.2,                 0.8395,                0.81646,                0.88377,                0.65229,                0.98759,                0.67899,                 1.2146,               0.004951,               0.004951,               0.004951
                     54,                 0.9291,                0.68908,                 1.1973,                0.84209,                  0.815,                0.88374,                0.65243,                0.98702,                0.67933,                 1.2146,               0.004852,               0.004852,               0.004852
                     55,                0.92402,                0.68711,                  1.195,                0.84155,                 0.8158,                0.88439,                0.65301,                0.98649,                0.67895,                 1.2143,               0.004753,               0.004753,               0.004753
                     56,                0.92206,                0.68322,                 1.1936,                0.84254,                0.81662,                0.88464,                0.65325,                0.98679,                0.67842,                 1.2153,               0.004654,               0.004654,               0.004654
                     57,                0.91128,                0.67563,                 1.1881,                   0.84,                0.81774,                0.88427,                0.65379,                0.98732,                0.67802,                 1.2164,               0.004555,               0.004555,               0.004555
                     58,                0.91193,                0.67375,                 1.1845,                0.83935,                0.81828,                0.88436,                0.65379,                0.98731,                0.67721,                 1.2162,               0.004456,               0.004456,               0.004456
                     59,                0.90122,                0.66168,                 1.1791,                0.83756,                0.82121,                0.88403,                0.65395,                0.98684,                0.67663,                 1.2162,               0.004357,               0.004357,               0.004357
                     60,                0.90453,                0.66006,                 1.1782,                0.83947,                 0.8192,                0.88404,                0.65429,                0.98701,                0.67636,                 1.2165,               0.004258,               0.004258,               0.004258
                     61,                0.89535,                0.65604,                 1.1777,                0.83924,                 0.8189,                0.88392,                0.65476,                0.98698,                0.67648,                 1.2171,               0.004159,               0.004159,               0.004159
                     62,                0.88857,                0.64985,                 1.1753,                0.84065,                0.81904,                 0.8844,                0.65538,                 0.9867,                0.67585,                 1.2175,                0.00406,                0.00406,                0.00406
                     63,                0.88437,                 0.6454,                 1.1727,                0.84219,                0.81669,                0.88414,                 0.6557,                0.98671,                0.67526,                  1.218,               0.003961,               0.003961,               0.003961
                     64,                0.88052,                0.64073,                 1.1672,                0.84342,                 0.8144,                0.88433,                0.65538,                0.98669,                0.67492,                 1.2184,               0.003862,               0.003862,               0.003862
